Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
Nason Creek Lower 10,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Bank Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover,Temperature- Rearing,PRCNT Fines and Embeddedness,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Channel Stability,Stability,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2274
Nason Creek Lower 11,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Pool Quantity and Quality,Riparian-Disturbance,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2275
Nason Creek Lower 12,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Cover- Wood,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,PRCNT Fines and Embeddedness","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2276
Nason Creek Lower 13,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Cover- Wood,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,PRCNT Fines and Embeddedness","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2277
Nason Creek Lower 01,Wenatchee,Lower Nason Creek,Address Limiting Factors,2,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Temperature- Adult Spawning,Temperature- Rearing,Temperature- Adult Holding,Brook Trout",Floodplain Connectivity,"Brook Trout Management, Water Quality Improvement",27.Jan.2278
Nason Creek Lower 03,Wenatchee,Lower Nason Creek,Address Limiting Factors,2,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Temperature- Adult Spawning,Temperature- Rearing,Temperature- Adult Holding,Brook Trout","PRCNT Fines and Embeddedness,Floodplain Connectivity","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management, Water Quality Improvement",27.Jan.2279
Nason Creek Lower 04,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Pool Quantity and Quality,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Water Quality Improvement",27.Jan.2280
Nason Creek Lower 05,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2281
Nason Creek Lower 07,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Pool Quantity and Quality,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2282
Nason Creek Lower 02,Wenatchee,Lower Nason Creek,Address Limiting Factors,3,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","PRCNT Fines and Embeddedness,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Floodplain Connectivity,Temperature- Rearing","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management, Water Quality Improvement",27.Jan.2283
Nason Creek Lower 06,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Pool Quantity and Quality,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2284
Nason Creek Lower 08,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Riparian-Canopy Cover,Riparian","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2285
Nason Creek Lower 15,Wenatchee,Lower Nason Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Temperature- Rearing,Temperature- Adult Spawning,Temperature- Adult Holding,Brook Trout","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2286
Nason Creek Lower 14,Wenatchee,Lower Nason Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Steelhead, Bull Trout","Spawning and Incubation,Winter Rearing,Summer Rearing,Holding and Maturation,BT Natal Rearing","Temperature- Adult Spawning,Off-Channel- Side-Channels,Temperature- Rearing,Temperature- Adult Holding,Brook Trout","PRCNT Fines and Embeddedness,Coarse Substrate,Cover- Wood,Floodplain Connectivity","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2287
Ninemile 16-3,Okanogan,Ninemile Creek DS,"Restore Reach Function, Address Limiting Factors",1,Steelhead,Summer Rearing,"Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Cover- Wood,Food- Food Web Resources,Temperature- Rearing,Flow- Summer Base Flow","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2288
Ninemile 16-5,Okanogan,Ninemile Creek DS,Address Limiting Factors,1,Steelhead,Summer Rearing,"Cover- Wood,Temperature- Rearing",Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2289
Okanogan 16-47,Okanogan,Okanogan-Haynes Creek North,Address Limiting Factors,1,Steelhead,Summer Rearing,"Pool Quantity and Quality,Temperature- Rearing,Coarse Substrate",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management, Water Quality Improvement",27.Jan.2290
Beaver Creek Lower 07,Methow,Lower Beaver Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead",Summer Rearing,"Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian",No At-Risk Limiting Factors,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2291
Ninemile 16-2,Okanogan,Ninemile Creek DS,"Restore Reach Function, Address Limiting Factors",2,Steelhead,Summer Rearing,"Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Temperature- Rearing,Flow- Summer Base Flow","Coarse Substrate,Cover- Wood,Coarse Substrate,Cover- Wood","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2292
Ninemile 16-4,Okanogan,Ninemile Creek DS,Address Limiting Factors,2,Steelhead,Summer Rearing,"Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Cover- Wood","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2293
Ninemile 16-1,Okanogan,Ninemile Creek DS,"Restore Reach Function, Address Limiting Factors",3,Steelhead,Summer Rearing,"Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Pool Quantity and Quality,Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2294
Foggy Dew Creek 01,Methow,Gold Creek,Address Limiting Factors,Not Ranked,Steelhead,Summer Rearing,No Unacceptable Limiting Factors,Cover- Wood,"Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management",27.Jan.2295
Gold Creek 04,Methow,Gold Creek,Address Limiting Factors,Not Ranked,Steelhead,Summer Rearing,No Unacceptable Limiting Factors,Cover- Wood,"Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management",27.Jan.2296
Gold Creek 05,Methow,Gold Creek,Address Limiting Factors,Not Ranked,Steelhead,Summer Rearing,No Unacceptable Limiting Factors,Cover- Wood,"Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management",27.Jan.2297
Gold Creek South Fork 01,Methow,South Fork Gold Creek,Address Limiting Factors,Not Ranked,Steelhead,Summer Rearing,Off-Channel- Side-Channels,Cover- Wood,"Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management",27.Jan.2298
Gold Creek South Fork 02,Methow,South Fork Gold Creek,Address Limiting Factors,Not Ranked,Steelhead,Summer Rearing,No Unacceptable Limiting Factors,Cover- Wood,"Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management",27.Jan.2299
